Roll_No,Off_Name,County,Ethos,xcoord,ycoord,Long,Lat
00651R,BORRIS MXD N S,Carlow,CATHOLIC,273199,150324,-6.91956,52.5993
00977B,BALLYCONNELL N S,Carlow,CATHOLIC,292481,174367,-6.62828,52.8124
01116A,BAILE AN CHUILINN N S,Carlow,CATHOLIC,272463,155784,-6.92923,52.6485
01215C,NEWTOWN DUNLECKNEY MXD,Carlow,CATHOLIC,275959,164072,-6.87567,52.7225
01415K,RATHOE NS,Carlow,CATHOLIC,281027,171359,-6.79887,52.7872
02124E,SCOIL NAIS MOLAISE,Carlow,CATHOLIC,265307,165801,-7.03297,52.7394
04077I,SCOIL NAIS BHRIDE,Carlow,CATHOLIC,282120,176948,-6.78127,52.8373
09320Q,SCOIL NAIS MHUIRE,Carlow,CATHOLIC,278553,156943,-6.83898,52.6581
11135K,ST MARYS N S,Carlow,CHURCH OF IRELAND,270371,161495,-6.95892,52.7001
13105L,ST BRIDGETS MONASTERY,Carlow,CATHOLIC,270696,161495,-6.95411,52.7
13507I,S N MUIRE LOURDES,Carlow,CATHOLIC,285444,172887,-6.73301,52.8003
13607M,ST COLUMBAS N S,Carlow,CHURCH OF IRELAND,285514,173275,-6.73187,52.8037
14837L,S N PEADAR AGUS POL,Carlow,CATHOLIC,283204,165930,-6.76798,52.7381
16080N,S N PHADRAIG NAOFA,Carlow,CATHOLIC,285520,173189,-6.7318,52.803
16938E,FR CULLEN MEMORIAL N S,Carlow,CATHOLIC,274499,172123,-6.89544,52.795
17053P,BISHOP FOLEY MEMORIAL SCHOOL,Carlow,CATHOLIC,272512,177195,-6.92377,52.8409
17096K,S N NMH FHINGIN,Carlow,CATHOLIC,277649,159052,-6.85184,52.6771
17127S,ST JOSEPHS NS,Carlow,CATHOLIC,297277,180092,-6.55546,52.863
17330P,SCOIL N MOLING-GLYNN,Carlow,CATHOLIC,274201,139477,-6.9072,52.5017
17462J,SCOIL NAIS MHICHIL,Carlow,CATHOLIC,274418,144438,-6.9029,52.5463
17481N,ST BRENDANS N S,Carlow,CATHOLIC,274710,136225,-6.90043,52.4724
17501Q,Bennekerry National School,Carlow,CATHOLIC,276212,176121,-6.86912,52.8307
17514C,S N CLUAIN NA GALL,Carlow,CATHOLIC,291401,161388,-6.64791,52.696
17663T,ST PATRICKS N S,Carlow,CATHOLIC,288216,181805,-6.68951,52.8799
17669I,S N TREASA NAOMHA,Carlow,CATHOLIC,293017,183185,-6.61781,52.8915
17756D,BALLINABRANNA MXD N S,Carlow,CATHOLIC,268668,170962,-6.98213,52.7854
17796P,Our Lady's National School,Carlow,CATHOLIC,273518,166934,-6.91115,52.7485
17994T,S N FHOIRTCHEIRN/FHININ,Carlow,CATHOLIC,282544,160140,-6.77921,52.6862
18024N,SCOIL MUIRE GAN SMAL,Carlow,CATHOLIC,287428,167987,-6.70491,52.7559
18090D,S N CILL DAMHAIN,Carlow,CATHOLIC,288933,160048,-6.68477,52.6844
18183K,QUEEN OF UNIVERSE N S,Carlow,CATHOLIC,270129,161621,-6.96247,52.7012
18363M,S N MUIRE GAN SMAL,Carlow,CATHOLIC,272633,176860,-6.92205,52.8378
18424G,SCOIL NAIS IOSEF NAOFA,Carlow,CATHOLIC,272598,176948,-6.92255,52.8386
18510W,St Patrick's National School,Carlow,CATHOLIC,277310,147230,-6.85962,52.571
18609S,S N FIONTAIN NAOFA,Carlow,CATHOLIC,285279,179321,-6.73378,52.8581
18615N,S N CEATHARLACH,Carlow,CHURCH OF IRELAND,271992,175585,-6.93185,52.8265
19477J,HOLY FAMILY B N S,Carlow,CATHOLIC,273297,176670,-6.91224,52.836
19478L,Holy Family Girls N S,Carlow,CATHOLIC,273325,176589,-6.91185,52.8353
19784S,ST LASERIANS MXD NS,Carlow,CATHOLIC,269499,165370,-6.971,52.735
19811S,GAELSCOIL EOGHAIN U� THUAIRISC,Carlow,CATHOLIC,273395,175932,-6.91096,52.8294
19958C,S.N. NAOMH FHIACH,Carlow,CATHOLIC,271106,176780,-6.94473,52.8373
20295K,Carlow Educate Together NS,Carlow,MULTI DENOMINATIONAL,270598,177131,-6.95219,52.8405
01356U,KILNALECK MIXED N S,Cavan,CATHOLIC,244694,290228,-7.32065,53.8595
05627W,BAILIEBORO MODEL N S,Cavan,CHURCH OF IRELAND,267435,296887,-6.97357,53.9169
06998Q,St Patrick's NS,Cavan,CATHOLIC,213643,318831,-7.79134,54.1183
08143P,S N MHUIRE,Cavan,CATHOLIC,219258,326916,-7.70495,54.1908
08453H,S N CRUABANAI,Cavan,CATHOLIC,244571,301985,-7.32081,53.9652
08490N,ST CLARES PRIMARY SCHOOL,Cavan,CATHOLIC,242225,304903,-7.35615,53.9916
08948L,MILLTOWN N S,Cavan,CATHOLIC,234408,312922,-7.47443,54.0642
10146K,CORLISS N S,Cavan,CATHOLIC,233039,302950,-7.49642,53.9747
11205F,KILLESHANDRA National School ( C of I),Cavan,CHURCH OF IRELAND,230978,307164,-7.52741,54.0127
11409V,BALLYCONELL CENTRAL N S,Cavan,CHURCH OF IRELAND,227006,318767,-7.58697,54.1172
11517B,CAVAN 1 N S,Cavan,CHURCH OF IRELAND,241842,304726,-7.36202,53.99
11541V,DROMAILI S N,Cavan,CATHOLIC,240443,306138,-7.38316,54.0028
12099O,BILLIS N S,Cavan,CHURCH OF IRELAND,256245,293373,-7.14452,53.8867
12312L,DARLEY N S,Cavan,CHURCH OF IRELAND,259843,314487,-7.08566,54.076
12713G,CORRATOBER N S,Cavan,CATHOLIC,229273,294729,-7.55461,53.9011
13203L,ST PATRICKS MXD N S,Cavan,CATHOLIC,230665,291702,-7.53374,53.8738
13271F,FAIRGREEN N S,Cavan,CHURCH OF IRELAND,236445,316779,-7.44285,54.0987
14073G,CASTLETARA N S,Cavan,CATHOLIC,246504,309267,-7.29024,54.0304
14211P,S N LATHRACH 2,Cavan,CATHOLIC,274865,295421,-6.86086,53.9027
14320U,CORLEA N S,Cavan,CATHOLIC,274039,300029,-6.87231,53.9442
14336M,SEARCOG I N S,Cavan,CATHOLIC,272663,305342,-6.892,53.9922
14399N,KILLYGARRY N S,Cavan,CATHOLIC,245599,304329,-7.30479,53.9862
14732U,SCOIL BHRIDE,Cavan,CATHOLIC,249231,285300,-7.25248,53.8149
15120R,KILLYCONNAN N S,Cavan,CATHOLIC,248761,301767,-7.257,53.9629
15452T,KILDALLON N S,Cavan,CATHOLIC,229472,313032,-7.54981,54.0655
15502I,KILLINKERE N S,Cavan,CATHOLIC,261279,293362,-7.06796,53.886
16057S,CONVENT OF MERCY N S,Cavan,CATHOLIC,236262,316964,-7.44563,54.1004
16083T,VIRGINIA MXD N S,Cavan,CATHOLIC,260905,287700,-7.07477,53.8352
16093W,BALLYCONNELL MXD N S,Cavan,CATHOLIC,227405,318357,-7.5809,54.1135
16316Q,ST MARYS N S,Cavan,CATHOLIC,227583,296978,-7.58012,53.9214
16390F,SCOIL BHRIDE,Cavan,CATHOLIC,231118,306486,-7.52534,54.0066
16520P,ST MARY'S N.S.,Cavan,CATHOLIC,250944,310589,-7.22226,54.0419
16767D,CORONEA N S,Cavan,CATHOLIC,231340,298854,-7.52274,53.938
16921K,S N BEAL ATHA NA NEACH,Cavan,CATHOLIC,238579,298192,-7.41259,53.9316
16959M,S N CORRABHA,Cavan,CATHOLIC,204966,327372,-7.92391,54.1952
17230L,SCOIL NAOMH BRID,Cavan,CATHOLIC,244914,315374,-7.3136,54.0855
17240O,S N TAMHNACH DHUIBH,Cavan,CATHOLIC,261808,301526,-7.05827,53.9593
17326B,S N NAOMH FEIDHLIM,Cavan,CATHOLIC,241791,304810,-7.36278,53.9908
17440W,S N NAOMH MAODHOG,Cavan,CATHOLIC,223896,315804,-7.63477,54.0907
17479D,SCOIL MHUIRE,Cavan,CATHOLIC,236935,296511,-7.43782,53.9166
17531C,BAILE NA MONA,Cavan,CATHOLIC,268864,294673,-6.95232,53.8968
17601U,S N DOIRE NA CEISE,Cavan,CATHOLIC,262881,309410,-7.0403,54.03
17625L,CNOC AN TEAMPAILL,Cavan,CATHOLIC,260114,284158,-7.08748,53.8035
17630E,S N MAODHOG,Cavan,CATHOLIC,265998,304733,-6.99375,53.9876
17780A,BALLYHAISE N S,Cavan,CATHOLIC,244623,310845,-7.31872,54.0448
17990L,S N DROM CNAMH,Cavan,CATHOLIC,244417,305505,-7.32264,53.9968
18059J,BAILIEBORO N S,Cavan,CATHOLIC,267409,296758,-6.974,53.9158
18127A,S N MHUIRE,Cavan,CATHOLIC,236465,316694,-7.44256,54.098
18340A,S N PADRAIG,Cavan,CATHOLIC,250734,313983,-7.2249,54.0724
18346M,S N GREACH RATHAIN,Cavan,CATHOLIC,230560,316646,-7.53283,54.0979
18355N,KNOCKNAGILLA N S,Cavan,CATHOLIC,251287,298652,-7.21904,53.9346
18393V,S N CILLIN,Cavan,CATHOLIC,265046,289851,-7.01142,53.854
18518P,S N CORR LORGAN,Cavan,CATHOLIC,242151,301420,-7.35776,53.9603
18564W,S N LEITIR,Cavan,CATHOLIC,264986,298015,-7.0106,53.9274
18833A,S N LATHRACH,Cavan,CATHOLIC,251480,305159,-7.215,53.9931
18857O,S N CARRAIG A BRUIS,Cavan,CATHOLIC,263800,284012,-7.03157,53.8017
19202Q,DRUMKILLY NS,Cavan,CATHOLIC,243237,293637,-7.34232,53.8903
19285A,KILL N S,Cavan,CATHOLIC,257828,310006,-7.11729,54.0359
19322D,KILMORE CENTRAL N S,Cavan,CHURCH OF IRELAND,238064,302676,-7.41987,53.9719
19326L,BUTLERSBRIDGE NS,Cavan,CATHOLIC,240920,310927,-7.37524,54.0458
19363R,MULLAHORAN CENTRAL N S,Cavan,CATHOLIC,237295,287887,-7.43339,53.8391
19378H,BALLYNARRY N S,Cavan,CATHOLIC,242963,287741,-7.34731,53.8374
19418Q,CASTLERAHAN CENTRAL NS,Cavan,CATHOLIC,254065,286013,-7.17897,53.8208
19432K,CROSSKEYS CENTRAL N S,Cavan,CATHOLIC,248382,296933,-7.26354,53.9195
19527V,CABRA CENTRAL N S,Cavan,CHURCH OF IRELAND,278127,297437,-6.81073,53.9204
19568M,ST PATRICKS,Cavan,CATHOLIC,238996,293077,-7.40689,53.8856
19596R,CROSSERLOUGH N S,Cavan,CATHOLIC,246884,292072,-7.28708,53.8759
19608V,ST KILLIANS N S,Cavan,CATHOLIC,268884,285304,-6.95412,53.8127
19679V,S N AODHAIN NAOFA,Cavan,CATHOLIC,221077,318868,-7.67764,54.1184
19871N,ST PATRICKS N S,Cavan,CATHOLIC,205536,337352,-7.91499,54.2849
19921C,DRUNG NO 2 NS,Cavan,CHURCH OF IRELAND,250303,310718,-7.23203,54.0431
19983B,ST CLARES NS,Cavan,CATHOLIC,252725,290999,-7.19846,53.8657
20026G,Gaelscoil Bhreifne,Cavan,MULTI DENOMINATIONAL,241656,304884,-7.36483,53.9915
20134J,ST MICHAELS N. S.,Cavan,CATHOLIC,254140,301451,-7.1751,53.9595
20172R,ST JOSEPHS N S,Cavan,CATHOLIC,278597,295309,-6.80412,53.9012
20277I,St Michaels National School,Cavan,CATHOLIC,260627,314280,-7.07372,54.074
02439G,S N MHUIRE,Clare,CATHOLIC,156382,186087,-8.64861,52.9239
03898U,TOONAGH N S,Clare,CATHOLIC,130426,182614,-9.03379,52.8899
03928D,MULLACH N S,Clare,CATHOLIC,104321,172978,-9.41874,52.7994
04548V,SCOIL SEANAIN NAOFA,Clare,CATHOLIC,162600,163750,-8.5536,52.7236
04919H,CRATLOE N S,Clare,CATHOLIC,148977,161133,-8.75482,52.699
05253H,O CALLAGHANS MILLS N S,Clare,CATHOLIC,154753,176784,-8.67154,52.8402
07315N,HOLY FAMILY SNR,Clare,CATHOLIC,133925,177182,-8.9807,52.8416
09390O,ROCKMOUNT MIXED N S,Clare,CATHOLIC,109322,180570,-9.34671,52.8684
09425H,RINEEN N S,Clare,CATHOLIC,106561,183081,-9.38842,52.8905
10568N,S N CUIBHREANN,Clare,CATHOLIC,91974,154947,-9.59582,52.6351
10763L,BOSTON N S,Clare,CATHOLIC,137472,198241,-8.93212,53.0312
10886E,TUBBER N S,Clare,CATHOLIC,140007,193609,-8.89348,52.9899
11234M,CLOHANBEG N S,Clare,CATHOLIC,106196,168727,-9.38973,52.7615
11714D,BANSHA N S,Clare,CATHOLIC,92562,161860,-9.58939,52.6973
11765U,DOONBEG N S,Clare,CATHOLIC,96773,165537,-9.52827,52.7311
11990E,BODYKE N S,Clare,CATHOLIC,159867,181450,-8.59622,52.8825
12633I,COOLMEEN N S,Clare,CATHOLIC,117983,157176,-9.21226,52.6596
12848G,DOONAHA N S,Clare,CATHOLIC,88457,153667,-9.64732,52.6228
13379C,S N PADRAIG NFA FANOIR,Clare,CATHOLIC,114077,208117,-9.28343,53.1167
13418J,BALLYEA MIXED N S,Clare,CATHOLIC,130579,170758,-9.02899,52.7834
13478E,DROIMDIOGACH N S,Clare,CATHOLIC,111316,157681,-9.31091,52.6631
13625O,KILNAMONA N S,Clare,CATHOLIC,127416,180168,-9.07796,52.8676
13730L,CLOHANES N S,Clare,CATHOLIC,100424,169538,-9.47546,52.7678
13738E,BURRANE N S,Clare,CATHOLIC,108057,153546,-9.35792,52.6254
13804O,S N NA CRANNAIGHE,Clare,CATHOLIC,117269,160895,-9.22375,52.6929
13826B,KILMIHIL N.S.,Clare,CATHOLIC,110920,164290,-9.31855,52.7224
13870E,KILKISHEN N S,Clare,CATHOLIC,149964,172877,-8.74201,52.8046
13876Q,MOVEEN N S,Clare,CATHOLIC,86047,155978,-9.68369,52.6431
13942D,S N CILL MUIRE,Clare,CATHOLIC,147218,169951,-8.78226,52.7781
14111L,CROSS N S,Clare,CATHOLIC,79757,151179,-9.77484,52.5986
14468G,KILMALEY N S,Clare,CATHOLIC,125218,174911,-9.10939,52.82
14571W,TOMGRANEY N S,Clare,CATHOLIC,163627,183100,-8.54055,52.8976
14622N,EIDHNEACH N S,Clare,CATHOLIC,120664,181338,-9.17849,52.8771
14757N,S N MHAINISTIR CHUINCHE,Clare,CATHOLIC,142024,174341,-8.86001,52.817
14830U,BAREFIELD MIXED N S,Clare,CATHOLIC,136518,182572,-8.94327,52.8903
15042A,ENNIS N S,Clare,CATHOLIC,133520,177128,-8.9867,52.841
15221A,ANNAGH N S,Clare,CATHOLIC,104696,175463,-9.4139,52.8218
15279I,CLOONEY N S,Clare,CATHOLIC,142037,180339,-8.86088,52.8709
15301V,KILDYSART N S,Clare,CATHOLIC,125446,159060,-9.1024,52.6776
15350L,STONEHALL N S,Clare,CATHOLIC,138560,164136,-8.90947,52.7249
15370R,KILLALOE BOYS N S,Clare,CATHOLIC,170056,172640,-8.44405,52.804
15408Q,CONNOLLY N S,Clare,CATHOLIC,120460,176113,-9.18025,52.8302
15981A,LAKYLE N S,Clare,CATHOLIC,175710,189185,-8.36144,52.9529
16186G,INCH N S,Clare,CATHOLIC,128691,175123,-9.05792,52.8224
16677C,BUNSCOIL NA MBRAITHRE,Clare,CATHOLIC,134191,177899,-8.9769,52.8481
16908S,SIXMILEBRIDGE N S,Clare,CATHOLIC,147472,166073,-8.77787,52.7432
16930L,SCOIL AN SRAITH  S N,Clare,CATHOLIC,99067,162414,-9.49337,52.7035
16946D,SN AN PHAIRTIN MIXED,Clare,CATHOLIC,158470,160579,-8.61432,52.6948
17020A,QUILTY NS,Clare,CATHOLIC,101958,174237,-9.45414,52.8103
17026M,CLARECASTLE NATIONAL SCHOOL,Clare,CATHOLIC,134620,174409,-8.96983,52.8167
17246D,S N CLUAIN AN ATHA,Clare,CATHOLIC,114292,180363,-9.27287,52.8674
17270A,S N COLM CILLE,Clare,CATHOLIC,117387,187493,-9.22872,52.9319
17517I,DOOLIN MIXED N S,Clare,CATHOLIC,107975,196670,-9.37128,53.0129
17563P,OGONNELLOE NATIONAL SCHOOL,Clare,CATHOLIC,169181,180208,-8.45774,52.8719
17583V,S N CNOC AN EIN,Clare,CATHOLIC,137487,178553,-8.9281,52.8543
17633K,S N EOIN BAISTE,Clare,CATHOLIC,122761,207661,-9.15364,53.1139
17687K,S N TULACH CRUINN,Clare,CATHOLIC,108683,160790,-9.35069,52.6906
17801F,S N NA MAIGHDINE MUIRE,Clare,CATHOLIC,157370,172678,-8.63217,52.8035
17816S,COORACLARE B N S,Clare,CATHOLIC,103970,162497,-9.42087,52.7051
17832Q,KILNABOY N S,Clare,CATHOLIC,127533,191776,-9.07881,52.9719
17847G,S N AIBHISTIN NAOFA,Clare,CATHOLIC,112662,193284,-9.30054,52.9832
17898A,S N IOSEP NAOFA,Clare,CATHOLIC,161880,172745,-8.5653,52.8044
17957N,ENNIS CONVENT INF N S,Clare,CATHOLIC,133938,177253,-8.98052,52.8422
18032M,S N CLUAIN MUINGE,Clare,CATHOLIC,143532,163113,-8.83571,52.7162
18109V,S N INIS CEALTRACH,Clare,CATHOLIC,170355,186944,-8.44092,52.9325
18168O,S N AN CHRIOCH,Clare,CATHOLIC,103421,167136,-9.43036,52.7467
18190H,S N CRONAIN NFA AN CARN,Clare,CATHOLIC,127927,199076,-9.07457,53.0375
18225A,S N MHUIRE MILIUC,Clare,CATHOLIC,154483,160813,-8.67333,52.6966
18227E,SCOIL MHUIRE NAISIUNTA,Clare,CATHOLIC,128880,188753,-9.0581,52.9449
18327I,S N CNOC DOIRE,Clare,CATHOLIC,105562,156861,-9.39571,52.6548
18339P,SN IOSEF NAOFA,Clare,CATHOLIC,110421,184191,-9.33139,52.9012
18359V,S N CUAN,Clare,CATHOLIC,73562,148800,-9.86532,52.5759
18410S,S N LIOSCEANUIR,Clare,CATHOLIC,106244,188084,-9.39458,52.9354
18467B,S N BAILE AN DROICHID,Clare,CATHOLIC,164632,167918,-8.52397,52.7612
18526O,BALLYCAR N S,Clare,CATHOLIC,142462,168883,-8.85255,52.768
18540I,CLUAIN DRAIGNEACH,Clare,CATHOLIC,124466,165216,-9.11831,52.7328
18541K,S N CATHAIR AODHA,Clare,CATHOLIC,125733,168932,-9.10039,52.7664
18555V,LISSYCASEY N S,Clare,CATHOLIC,120550,165858,-9.17643,52.738
18565B,S N MA SHEASTA,Clare,CATHOLIC,95904,158761,-9.53899,52.6701
18624O,MERCY CONVENT KILLALOE,Clare,CATHOLIC,170299,172842,-8.44046,52.8058
18630J,CARRIGAHOLT MIXED N S,Clare,CATHOLIC,84278,151490,-9.70825,52.6024
18639E,S N BAILE NA CAILLI,Clare,CATHOLIC,128064,163581,-9.06469,52.7186
18696Q,S N DUBH RATH,Clare,CATHOLIC,138485,174664,-8.91256,52.8195
18720K,MILTOWN MALBAY B N S,Clare,CATHOLIC,105559,178905,-9.4021,52.8528
18739I,SHANNON AIRPORT 1 N S,Clare,CATHOLIC,139860,161243,-8.8897,52.699
18740Q,SHANNON AIRPORT NO 2 NS,Clare,CHURCH OF IRELAND,139547,161329,-8.89435,52.6998
18753C,SAINT MARYS N S LAHINCH,Clare,CATHOLIC,109612,187289,-9.34427,52.9289
18768P,FORGLEANN N S,Clare,CATHOLIC,114295,184855,-9.274,52.9078
18846J,AN DAINGIN,Clare,CATHOLIC,146166,175434,-8.79875,52.8272
18950E,Dromindoora N.S.,Clare,CATHOLIC,151620,194286,-8.72064,52.9972
19043W,NEW QUAY NS,Clare,CATHOLIC,127860,211093,-9.07827,53.1455
19274S,ST CONAIRES NS,Clare,CATHOLIC,141205,161984,-8.86994,52.7059
19338S,FLAGMOUNT CENTRAL NS,Clare,CATHOLIC,156691,192991,-8.64494,52.986
19366A,SCARIFF CENTRAL N S,Clare,CATHOLIC,164280,185114,-8.53106,52.9157
19386G,LABASHEEDA CENTRAL N S,Clare,CATHOLIC,115202,152986,-9.25228,52.6216
19442N,RUAN CENTRAL NS,Clare,CATHOLIC,133569,187411,-8.98807,52.9334
19551S,INCHICRONAN CENTRAL NS,Clare,CATHOLIC,139943,187584,-8.89331,52.9358
19552U,NAOMH TOLA,Clare,CATHOLIC,140154,161731,-8.88544,52.7035
19559L,CHRIOST RI,Clare,CATHOLIC,133158,177849,-8.99222,52.8475
19698C,ST AIDANS NS,Clare,CATHOLIC,141646,162532,-8.86351,52.7108
19700J,LISDOONVARNA N S,Clare,CATHOLIC,113588,198564,-9.28817,53.0308
19838P,GAEL SC MHICHIL CHIOSOG,Clare,CATHOLIC,133978,178742,-8.98023,52.8556
19849U,GAELSCOIL DONNCHA RUA,Clare,CATHOLIC,140810,161932,-8.87577,52.7053
19999Q,GAELSCOIL UI CHOIMIN,Clare,CATHOLIC,99442,155320,-9.48565,52.6398
20041C,CONVENT OF MERCY NATIONAL SCHOOL,Clare,CATHOLIC,99377,155305,-9.48661,52.6397
20075T,ST MOCHULLAS N.S.,Clare,CATHOLIC,148739,179880,-8.76128,52.8674
20078C,SN REALT NA MARA,Clare,CATHOLIC,88674,159839,-9.6462,52.6783
20086B,ENNIS EDUCATE TOGETHER NS,Clare,MULTI DENOMINATIONAL,133831,179109,-8.98249,52.8589
20127M,SCOIL NA MAIGHDINE MHUIRE,Clare,CATHOLIC,139472,168372,-8.89675,52.7631
20149W,ST FACHNAN & ST ATTRACTAS N S,Clare,CATHOLIC,118039,193875,-9.22064,52.9894
20245S,Ennistymon National School,Clare,CATHOLIC,112753,188272,-9.29784,52.9382
20312H,Raheen Wood Steiner School,Clare,MULTI DENOMINATIONAL,164982,182513,-8.52035,52.8924
20313J,Mol an Oige,Clare,MULTI DENOMINATIONAL,112731,187932,-9.29807,52.9351
20404M,Coore National School,Clare,CATHOLIC,103970,162497,-9.42087,52.7051
20434V,Scoil Mhichil,Clare,CATHOLIC,109607.51,167539.95,-9.33887,52.7514
01197D,STRAWBERRY HILL B N S,Cork,CATHOLIC,165606,72135,-8.49974,51.9005
02707F,SUNDAYS WELL G N S,Cork,CATHOLIC,165572,72134,-8.50024,51.9004
05940D,SCOIL URSULA,Cork,CATHOLIC,171543,71548,-8.41343,51.8955
12203G,S N NAOMH ANTAINE,Cork,CATHOLIC,169211,70701,-8.44724,51.8878
12473M,GREENMOUNT MONASTERY NS,Cork,CATHOLIC,166982,71056,-8.47965,51.8908
13648D,ST LUKES MXD N S,Cork,CHURCH OF IRELAND,168626,72465,-8.45589,51.9036
13696O,ST VINCENTS CONVENT N S,Cork,CATHOLIC,167016,72685,-8.47931,51.9055
13980L,S N B TOGHER CORK,Cork,CATHOLIC,165859,69164,-8.49577,51.8738
14000C,SCOIL NAOMH MHUIRE,Cork,CATHOLIC,166953,71476,-8.48011,51.8946
14198D,NAOMH EOIN EASPAL,Cork,CATHOLIC,170341,73639,-8.43108,51.9142
15781P,BALLINTEMPLE N S,Cork,CATHOLIC,169782,71248,-8.43899,51.8927
16339F,S N IOSEF NAOFA,Cork,CATHOLIC,166504,71694,-8.48665,51.8965
16680O,SCOIL COLMCILLE,Cork,CATHOLIC,166795,72191,-8.48247,51.901
17024I,SCOIL NA CROISE NAOFA,Cork,CATHOLIC,172376,71369,-8.40132,51.8939
17045Q,ST PATRICKS B N S,Cork,CATHOLIC,168758,72861,-8.45401,51.9072
17105I,MUIRE GAN SMAL C,Cork,CATHOLIC,165711,70581,-8.49806,51.8865
17313P,OUR LADY OF LOURDES,Cork,CATHOLIC,168738,70891,-8.45412,51.8895
17993R,SCOIL MHUIRE GAN SMAL B,Cork,CATHOLIC,165711,70581,-8.49806,51.8865
18153B,S N PADRAIG NAOFA C,Cork,CATHOLIC,168769,72942,-8.45386,51.9079
18154D,S N PADRAIG NAOFA,Cork,CATHOLIC,168745,72847,-8.4542,51.907
18217B,SCOIL PADRE PIO N S,Cork,CATHOLIC,166178,72824,-8.4915,51.9067
18253F,SCOIL NAOMH CAITRIONA,Cork,CATHOLIC,164513,70565,-8.51546,51.8863
18292P,GAELSCOIL AN TEAGHLAIGH NAOFA,Cork,CATHOLIC,167314,70184,-8.47474,51.883
18356P,S N BARRA NAOFA,Cork,CHURCH OF IRELAND,166699,71423,-8.48379,51.8941
18388F,SCOIL NAOMH MICHEAL,Cork,CHURCH OF IRELAND,171132,71530,-8.4194,51.8953
18563U,SCOIL NAOMH BRID C,Cork,CATHOLIC,169346,70143,-8.44523,51.8828
18566D,S N ATHAIR MAITIU C,Cork,CATHOLIC,165836,69173,-8.49611,51.8738
18587L,SCOIL MHUIRE BANRION,Cork,CATHOLIC,170857,73446,-8.42356,51.9125
18734V,REALT NA MAIDINE,Cork,CATHOLIC,167046,69693,-8.47859,51.8786
18786R,SCOIL IOSAGAIN,Cork,CATHOLIC,166672,73228,-8.48436,51.9103
19000E,S N AN SPIORAID NAOMH C,Cork,CATHOLIC,163682,69681,-8.52744,51.8783
19231A,S N BARRA NAOFA BHUACH,Cork,CATHOLIC,170553,70785,-8.42775,51.8886
19232C,S N BARRA NAOFA CAILINI,Cork,CATHOLIC,170527,70832,-8.42813,51.889
19426P,S N MHARCUIS B,Cork,CATHOLIC,168552,73269,-8.45704,51.9108
19427R,S N BHREANNDAIN C,Cork,CATHOLIC,168072,73169,-8.46401,51.9099
19714U,MHUIRE AR CHNOC HAOINE,Cork,CATHOLIC,165175,72620,-8.50605,51.9048
19730S,SCOIL OILIBHEIR,Cork,CATHOLIC,168423,74421,-8.45902,51.9212
19852J,GAELSCOIL UI RIADA,Cork,CATHOLIC,164750,69773,-8.51194,51.8792
19882S,SCOIL AN ATHAIR TADHG O MURCHU,Cork,CATHOLIC,169504,69495,-8.44287,51.8769
19906G,Cork Educate Together National School,Cork,MULTI DENOMINATIONAL,167091,71933,-8.47815,51.8987
19908K,GAELSCOIL MHACHAN,Cork,CATHOLIC,172286,71137,-8.40261,51.8919
19909M,GAELSCOIL PEIG SAYERS,Cork,CATHOLIC,166632,74525,-8.48507,51.922
19993E,GAELSCOIL AN GHOIRT ALAINN,Cork,MULTI DENOMINATIONAL,169644,72976,-8.44115,51.9082
20036J,NORTH PRESENTATION PRIMARY SCHOOL,Cork,CATHOLIC,167281,72646,-8.47546,51.9051
20038N,SCOIL AISEIRI CHRIOST,Cork,CATHOLIC,166734,73361,-8.48347,51.9115
20077A,SCOIL AN SPIORAID NAOMH (BOYS),Cork,CATHOLIC,163628,69671,-8.52822,51.8782
20106E,SCOIL NIOCLAIS,Cork,CATHOLIC,168562,68141,-8.45643,51.8647
20140E,SCOIL MHUIRE FATIMA,Cork,CATHOLIC,166931,72883,-8.48056,51.9073
20388R,Bunscoil Chriost Ri,Cork,CATHOLIC,167859,70771,-8.46688,51.8883
20389T,Scoil Maria Assumpta,Cork,CATHOLIC,166975.75,70180.24,-8.47965,51.883
00467B,BALLINSPITTLE N S,Cork,CATHOLIC,158804,45849,-8.59545,51.6637
00512D,MIDLETON CONVENT N S,Cork,CATHOLIC,188795,72876,-8.16283,51.9081
01272O,S N CHUAN DOIR,Cork,CATHOLIC,124116,35556,-9.09453,51.5676
01687U,DROMLEIGH N S,Cork,CATHOLIC,128455,65146,-9.03803,51.8341
01692N,FIRMOUNT MIXED N S,Cork,CATHOLIC,152104,81919,-8.69727,51.9874
01867W,CASTLELYONS B N S,Cork,CATHOLIC,184344,92268,-8.2284,52.0822
02114B,S N BAILE UI GHIBLIN,Cork,CATHOLIC,186429,113438,-8.19883,52.2726
02278I,MILLSTREET CONVENT N S,Cork,CATHOLIC,126926,90125,-9.06551,52.0584
02452V,CLOYNE B N S,Cork,CATHOLIC,191294,67684,-8.12639,51.8614
02803B,BANTEER N S,Cork,CATHOLIC,139016,98040,-8.89067,52.131
03704E,S N SEAN BAILE MOR,Cork,CATHOLIC,167481,107458,-8.47586,52.218
04054T,BALLINDANGAN MIXED N S,Cork,CATHOLIC,177061,109393,-8.33581,52.2359
04118T,LEAMLARA MIXED N S,Cork,CATHOLIC,181928,79727,-8.26299,51.9695
04152T,S N CNOC AN BHILE,Cork,CATHOLIC,152764,61068,-8.68481,51.8
